Язык (русский),Код страны,Локаль,Английская локализация,Название локализации
Английский,en,en-US,English,Английская локализация
Чешский,cz,cs-CZ,Czech,Чешская локализация
Немецкий,de,de-DE,German,Немецкая локализация
Испанский,es,es-ES,Spanish,Испанская локализация
Французский,fr,fr-FR,French,Французская локализация
Итальянский,it,it-IT,Italian,Итальянская локализация
Нидерландский,nl,nl-NL,Dutch,Нидерландская локализация
Норвежский,no,no-NO,Norwegian,Норвежская локализация
Польский,pl,pl-PL,Polish,Польская локализация
Португальский (Португалия),pt,pt-PT,Portuguese (Portugal),Португальская локализация
Португальский (Бразилия),br,pt-BR,Portuguese (Brazil),Бразильская португальская локализация
Русский,ru,ru-RU,Russian,Русская локализация
Румынский,ro,ro-RO,Romanian,Румынская локализация
Финский,fi,fi-FI,Finnish,Финская локализация
Шведский,se,sv-SE,Swedish,Шведская локализация
Словацкий,sk,sk-SK,Slovak,Словацкая локализация
Турецкий,tr,tr-TR,Turkish,Турецкая локализация
Греческий,gr,el-GR,Greek,Греческая локализация
Корейский,kr,ko-KR,Korean,Корейская локализация
Японский,jp,ja-JP,Japanese,Японская локализация
Хинди,in,hi-IN,Hindi,Хинди локализация
Тайский,th,th-TH,Thai,Тайская локализация
Малайский,ms,ms-MY,Malay,Малайская локализация
Болгарский,bg,bg-BG,Bulgarian,Болгарская локализация
